Date,Imports,Exports
1700,70,34.3
1701,71.5,36.4
1702,72.4,38.5
1703,73.1,40.1
1704,73.6,41.4
1705,74.2,42.7
1706,75.4,44.5
1707,76.8,46.3
1708,78.2,50.9
1709,79.6,55.9
1710,81.1,60.8
1711,82.5,65.7
1712,83.6,69.2
1713,84.7,72.3
1714,85.9,75.4
1715,87,77.2
1716,88.1,78.4
1717,89.3,78.4
1718,90.7,78.2
1719,93.6,77.9
1720,96,77.2
1721,97.5,76.6
1722,98.8,75.8
1723,99.9,75
1724,101,74.3
1725,101.2,73.5
1726,101.1,72.6
1727,101,71.3
1728,99.5,69.2
1729,97.8,66.8
1730,96.2,65.1
1731,95.2,64
1732,94.3,62.8
1733,93.5,62.4
1734,93.1,62
1735,92.8,61.9
1736,92.7,62.4
1737,93,62.9
1738,93.2,64.2
1739,93.4,65.7
1740,93.4,67.1
1741,93.3,69.1
1742,93.3,71.8
1743,93.2,74.1
1744,92.9,74.9
1745,92.5,75.6
1746,92.2,76.4
1747,91.8,77.1
1748,91.3,77.9
1749,90.6,78.8
1750,89.9,79.7
1751,88.8,80.6
1752,85.6,81.5
1753,82.5,82.4
1754,81.4,83.2
1755,80.5,84.7
1756,79.6,88.3
1757,79.1,92
1758,78.7,97.3
1759,78.6,104.9
1760,78.5,117.9
1761,78.7,126.5
1762,79,133.9
1763,79.2,140.9
1764,80.2,145.7
1765,81.4,148.2
1766,82.5,151
1767,83.2,154.8
1768,83.9,158.5
1769,84.6,161
1770,85.7,163.1
1771,88.2,165.1
1772,90.3,168.4
1773,91.2,171.9
1774,92.2,175.3
1775,92.8,178.2
1776,93.3,180.7
1777,93.8,183.1
1778,93.9,184.3
1779,94.1,185.3
1780,94.2,186.3
